UDI,Product ID,Type,Air temperature [K],Process temperature [K],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,rpm_boxcox,power,temp_diff 
1,M14860,M,298.1,308.6,42.8,0,0,0,0,0,0,0,0.3159543069095954,13.522844335730683,10.5
2,L47181,L,298.2,308.7,46.3,3,0,0,0,0,0,0,0.31595430690059684,14.628684409497632,10.5
3,L47182,L,298.1,308.5,49.4,5,0,0,0,0,0,0,0.3159543069066727,15.608142761189631,10.399999999999977
4,L47183,L,298.2,308.6,39.5,7,0,0,0,0,0,0,0.31595430690244536,12.480195122646592,10.400000000000034
5,L47184,L,298.2,308.7,40.0,9,0,0,0,0,0,0,0.31595430690059684,12.638172276023873,10.5
6,M14865,M,298.1,308.6,41.9,11,0,0,0,0,0,0,0.3159543069018685,13.23848545918829,10.5
7,L47186,L,298.1,308.6,42.4,14,0,0,0,0,0,0,0.31595430690995097,13.39646261298192,10.5
8,L47187,L,298.1,308.6,40.2,16,0,0,0,0,0,0,0.31595430690832416,12.701363137714631,10.5
9,M14868,M,298.3,308.7,28.6,18,0,0,0,0,0,0,0.31595430691472404,9.036293177761108,10.399999999999977
10,M14869,M,298.5,309.0,28.0,21,0,0,0,0,0,0,0.3159543069172932,8.84672059368421,10.5
11,H29424,H,298.4,308.9,23.9,24,0,0,0,0,0,0,0.31595430691853144,7.5513079353529005,10.5
12,H29425,H,298.6,309.1,44.3,29,0,0,0,0,0,0,0.3159543069017221,13.996775795746288,10.5
13,M14872,M,298.6,309.1,51.1,34,0,0,0,0,0,0,0.3159543068947164,16.14526508232001,10.5
14,M14873,M,298.6,309.2,30.0,37,0,0,0,0,0,0,0.31595430691732485,9.478629207519745,10.599999999999966
15,L47194,L,298.6,309.2,19.6,40,0,0,0,0,0,0,0.3159543069240891,6.1927044157121465,10.599999999999966
16,L47195,L,298.6,309.2,48.4,42,0,0,0,0,0,0,0.3159543069091283,15.292188454401808,10.599999999999966
17,M14876,M,298.6,309.2,46.6,44,0,0,0,0,0,0,0.3159543068919501,14.723470701164874,10.599999999999966
18,M14877,M,298.7,309.2,45.6,47,0,0,0,0,0,0,0.31595430690074977,14.40751639467419,10.5
19,H29432,H,298.8,309.2,54.5,50,0,0,0,0,0,0,0.3159543068914299,17.219509725582927,10.399999999999977
20,M14879,M,298.9,309.3,32.5,55,0,0,0,0,0,0,0.31595430691333465,10.268514974683375,10.400000000000034
21,H29434,H,298.9,309.3,42.7,58,0,0,0,0,0,0,0.31595430689793746,13.49124890454193,10.400000000000034
22,L47201,L,298.8,309.3,44.8,63,0,0,0,0,0,0,0.3159543069036277,14.15475294928252,10.5
23,M14882,M,298.9,309.3,30.7,65,0,0,0,0,0,0,0.3159543069110737,9.69979722216996,10.400000000000034
24,L47203,L,299.0,309.4,25.7,68,0,0,0,0,0,0,0.3159543069178212,8.120025687788006,10.399999999999977
25,M14884,M,299.0,309.4,37.3,70,0,0,0,0,0,0,0.31595430691010135,11.785095647746779,10.399999999999977
26,L47205,L,299.0,309.5,23.3,73,0,0,0,0,0,0,0.3159543069206094,7.361735351250199,10.5
27,L47206,L,299.1,309.5,39.0,75,0,0,0,0,0,0,0.31595430690748644,12.322217969391971,10.399999999999977
28,H29441,H,299.1,309.4,24.6,77,0,0,0,0,0,0,0.31595430691933823,7.772475950215721,10.299999999999955
29,L47208,L,299.1,309.4,44.2,82,0,0,0,0,0,0,0.3159543069028693,13.965180365106823,10.299999999999955
30,L47209,L,299.0,309.4,30.1,84,0,0,0,0,0,0,0.3159543069156802,9.510224638161976,10.399999999999977
31,M14890,M,299.1,309.5,48.2,86,0,0,0,0,0,0,0.3159543068947164,15.22899759232533,10.399999999999977
32,L47211,L,299.0,309.4,25.5,89,0,0,0,0,0,0,0.3159543069189833,8.056834826434073,10.399999999999977
33,L47212,L,299.0,309.4,48.3,91,0,0,0,0,0,0,0.3159543069014269,15.260593023338918,10.399999999999977
34,L47213,L,298.9,309.3,32.5,93,0,0,0,0,0,0,0.31595430691464793,10.268514974726058,10.400000000000034
35,M14894,M,298.8,309.1,34.7,95,0,0,0,0,0,0,0.31595430691000126,10.963614449777044,10.300000000000011
